Visi studentai:
Vardas    Pavarde      vidurkis     mediana
vardas1   pavarde1        6.4          6
vardas2   pavarde2       8.28          8
vardas3   pavarde3       6.46          3
vardas4   pavarde4       7.49          7
vardas5   pavarde5        8.3          7
vardas6   pavarde6       9.06          9
vardas7   pavarde7       8.81          7
vardas8   pavarde8       7.96          6
vardas9   pavarde9       5.79          4
vardas10  pavarde10       7.36          7
vardas11  pavarde11       6.67          6
vardas12  pavarde12       5.73          5
vardas13  pavarde13       4.75          3
vardas14  pavarde14       4.75          2
vardas15  pavarde15       6.35          4
vardas16  pavarde16       6.27          5
vardas17  pavarde17       7.65          8
vardas18  pavarde18       6.13          5
vardas19  pavarde19       7.03          4
vardas20  pavarde20       4.81          4
vardas21  pavarde21       8.96          9
vardas22  pavarde22       5.79          4
vardas23  pavarde23       5.76          3
vardas24  pavarde24       7.55          6
vardas25  pavarde25       6.51          5
vardas26  pavarde26        7.1          6
vardas27  pavarde27       5.02          5
vardas28  pavarde28        6.6          6
vardas29  pavarde29       7.72          7
vardas30  pavarde30       6.14          4
vardas31  pavarde31       5.03          4
vardas32  pavarde32       8.61          7
vardas33  pavarde33       7.52          7
vardas34  pavarde34        7.9          6
vardas35  pavarde35       7.78          7
vardas36  pavarde36       5.36          3
vardas37  pavarde37       5.07          4
vardas38  pavarde38       7.01          7
vardas39  pavarde39          5          3
vardas40  pavarde40        5.4          4
vardas41  pavarde41       6.08          3
vardas42  pavarde42       6.42          5
vardas43  pavarde43       9.08          9
vardas44  pavarde44       7.02          4
vardas45  pavarde45        8.2          8
vardas46  pavarde46       6.44          3
vardas47  pavarde47       5.09          3
vardas48  pavarde48       8.22          8
vardas49  pavarde49       8.84          9
vardas50  pavarde50       6.97          6
vardas51  pavarde51       8.79          7
vardas52  pavarde52       6.56          6
vardas53  pavarde53       6.31          5
vardas54  pavarde54       7.26          5
vardas55  pavarde55       7.45          7
vardas56  pavarde56       7.29          5
vardas57  pavarde57       7.46          5
vardas58  pavarde58       6.29          4
vardas59  pavarde59       8.06          7
vardas60  pavarde60       7.21          4
vardas61  pavarde61       6.64          6
vardas62  pavarde62       6.73          5
vardas63  pavarde63       7.95          9
vardas64  pavarde64       6.79          5
vardas65  pavarde65       5.56          5
vardas66  pavarde66       4.51          3
vardas67  pavarde67        7.9          6
vardas68  pavarde68       6.18          3
vardas69  pavarde69       8.24          8
vardas70  pavarde70       8.85          7
vardas71  pavarde71       7.17          7
vardas72  pavarde72       5.83          4
vardas73  pavarde73       6.97          4
vardas74  pavarde74       5.19          3
vardas75  pavarde75       8.04          8
vardas76  pavarde76       7.61          7
